2026-09-24 12:23:42 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:23:42,907 [ERROR] sglang_omni.relay.nixl: Failed to import nixl: No module named 'nixl'. NixlRelay will not work.
2026-09-24 12:23:43 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:23:43,042 [INFO] sglang_omni.pipeline.control_plane: Coordinator control plane started
2026-09-24 12:23:43 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:23:43,042 [INFO] sglang_omni.pipeline.coordinator: Coordinator started
2026-09-24 12:23:43 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:23:43,045 [INFO] sglang_omni.pipeline.stage_workers: StageGroup tts_frontend: spawned 1 process(es) (pids=[112636])
2026-09-24 12:23:43 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:23:43,047 [INFO] sglang_omni.pipeline.stage_workers: StageGroup pipeline: spawned 1 process(es) (pids=[112637])
2026-09-24 12:23:51 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=Failed to import nixl: No module named 'nixl'. NixlRelay will not work.
2026-09-24 12:23:51 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:23:51,920 [INFO] stage_workers.tts_frontend: Building scheduler for preprocessing (tp_rank=0/1) ...
2026-09-24 12:23:52 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=Failed to import nixl: No module named 'nixl'. NixlRelay will not work.
2026-09-24 12:23:52 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:23:52,152 [INFO] stage_workers.pipeline: Set current device to 0 for stage tts_engine
2026-09-24 12:23:52 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:23:52,152 [INFO] stage_workers.pipeline: Building scheduler for tts_engine (tp_rank=0/1) ...
2026-09-24 12:23:52 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:23:52,173 [INFO] stage_workers.pipeline: Acquired GPU startup lock for stage tts_engine: /tmp/sglang_omni_gpu_0_startup.lock
2026-09-24 12:23:53 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:23:53,146 [INFO] stage_workers.tts_frontend: Set current device to 0 for stage audio_encoder
2026-09-24 12:23:53 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:23:53,146 [INFO] stage_workers.tts_frontend: Building scheduler for audio_encoder (tp_rank=0/1) ...
2026-09-24 12:23:54 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:23:54,577 [WARNING] sglang.srt.utils.common: Failed to load generation config for /home/li_yanyupingsheng/5703tts/models/higgs-tts-3-4b: /home/li_yanyupingsheng/5703tts/models/higgs-tts-3-4b does not appear to have a file named generation_config.json. Checkout 'https://huggingface.co//home/li_yanyupingsheng/5703tts/models/higgs-tts-3-4b/tree/main' for available files.. Proceeding without generation config.
2026-09-24 12:23:54 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:23:54,602 [INFO] sglang.srt.arg_groups.overrides: Attention backend not specified. Use flashinfer backend by default.
2026-09-24 12:23:54 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:23:54,610 [INFO] sglang_omni.scheduling.bootstrap: SGLang runtime configuration: gpu_id=0, sm=89, architecture=ada, attention_backend=flashinfer, decode_attention_backend=flashinfer, prefill_attention_backend=flashinfer, sampling_backend=flashinfer
2026-09-24 12:23:54 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:23:54,611 [INFO] sglang_omni.platforms.cuda: Configured SGLang backend policy: arch=None effective_quantization=None server_quantization=None moe_runner_backend=auto fp8_gemm_backend=auto
2026-09-24 12:23:57 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=Unable to import `torchao` Tensor objects. This may affect loading checkpoints serialized with `torchao`
2026-09-24 12:23:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:23:59,884 [INFO] sglang.srt.distributed.bootstrap: Init torch distributed begin.
2026-09-24 12:23:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:23:59,942 [INFO] sglang.srt.distributed.bootstrap: Init torch distributed ends. elapsed=0.06 s, mem usage=0.03 GB
2026-09-24 12:23:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:23:59,945 [INFO] sglang.srt.model_executor.model_runner: Load weight begin. avail mem=21.69 GB
2026-09-24 12:24:00 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=Multi-thread loading shards:   0% Completed | 0/1 [00:00<?, ?it/s]
2026-09-24 12:24:00 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=Multi-thread loading shards: 100% Completed | 1/1 [00:00<00:00, 37.98it/s]
2026-09-24 12:24:02 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:24:02,314 [WARNING] sglang.srt.models.qwen3: Parameter lm_head.weight not found in params_dict
2026-09-24 12:24:02 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:24:02,478 [INFO] sglang.srt.model_executor.model_runner: Load weight end. elapsed=2.53 s, type=HiggsTTSModel, avail mem=14.08 GB, mem usage=7.60 GB.
2026-09-24 12:24:02 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:24:02,526 [INFO] sglang.srt.mem_cache.memory_pool: KV Cache is allocated. dtype: torch.bfloat16, #tokens: 71680, K size: 4.92 GB, V size: 4.92 GB
2026-09-24 12:24:02 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:24:02,526 [INFO] sglang.srt.mem_cache.kv_cache_configurator: Memory pool end. avail mem=4.10 GB
2026-09-24 12:24:02 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:24:02,816 [WARNING] sglang.srt.model_executor.model_runner_components.cuda_graph_setup: Disabling auto-selected prefill CUDA graph: only 3.65 GiB is free after model/KV/eager-buffer allocation; at least 4.00 GiB is required for capture. Set an explicit prefill CUDA graph backend to override this safety gate.
2026-09-24 12:24:02 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:24:02,816 [INFO] sglang.srt.model_executor.model_runner_components.cuda_graph_setup: Capture target decode CUDA graph begin. backend=full, num_tokens_per_req=1, bs=[1], avail mem=3.65 GB
2026-09-24 12:24:03 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=  0%|          | 0/1 [00:00<?, ?it/s]
2026-09-24 12:26:33 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=Capturing batches (bs=1 avail_mem=3.65 GB):   0%|          | 0/1 [00:00<?, ?it/s]
2026-09-24 12:26:33 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=Capturing batches (bs=1 avail_mem=3.65 GB): 100%|██████████| 1/1 [02:29<00:00, 149.74s/it]
2026-09-24 12:26:33 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=Capturing batches (bs=1 avail_mem=3.65 GB): 100%|██████████| 1/1 [02:29<00:00, 149.74s/it]
2026-09-24 12:26:33 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:33,501 [INFO] sglang.srt.model_executor.model_runner_components.cuda_graph_setup: Capture target decode CUDA graph end. elapsed=150.68 s, mem usage=0.03 GB, avail mem=3.62 GB.
2026-09-24 12:26:33 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:33,503 [WARNING] sglang_omni.utils.cuda_graph_batch_validator: auto-selected prefill CUDA graph backend 'breakable' did not capture; using SGLang's eager prefill fallback
2026-09-24 12:26:33 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:33,511 [INFO] stage_workers.tts_frontend: Acquired GPU startup lock for stage audio_encoder: /tmp/sglang_omni_gpu_0_startup.lock
2026-09-24 12:26:33 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:33,511 [INFO] stage_workers.pipeline: Set current device to 0 for stage vocoder
2026-09-24 12:26:33 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:33,511 [INFO] stage_workers.pipeline: Building scheduler for vocoder (tp_rank=0/1) ...
2026-09-24 12:26:44 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:44,334 [INFO] stage_workers.pipeline: Acquired GPU startup lock for stage vocoder: /tmp/sglang_omni_gpu_0_startup.lock
2026-09-24 12:26:44 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:44,339 [INFO] sglang_omni.pipeline.control_plane: Stage preprocessing control plane started
2026-09-24 12:26:44 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:44,340 [INFO] sglang_omni.pipeline.stage.runtime: Stage preprocessing started
2026-09-24 12:26:44 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:44,341 [INFO] sglang_omni.pipeline.control_plane: Stage audio_encoder control plane started
2026-09-24 12:26:44 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:44,341 [INFO] sglang_omni.pipeline.stage.runtime: Scheduler thread for stage audio_encoder set cuda device to 0
2026-09-24 12:26:44 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:44,341 [INFO] sglang_omni.pipeline.stage.runtime: Stage audio_encoder started
2026-09-24 12:26:44 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:44,342 [INFO] stage_workers.tts_frontend: Process tts_frontend ready with stages=['preprocessing', 'audio_encoder']
2026-09-24 12:26:44 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:44,342 [INFO] sglang_omni.pipeline.stage_workers: Process tts_frontend ready
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:59,385 [INFO] sglang_omni.models.higgs_tts.audio_codec: Captured 150 Higgs codec decode CUDA graphs for frame counts 1..150
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:59,387 [INFO] sglang_omni.pipeline.control_plane: Stage tts_engine control plane started
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:59,387 [INFO] sglang_omni.pipeline.stage.runtime: Scheduler thread for stage tts_engine set cuda device to 0
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:59,388 [INFO] sglang_omni.pipeline.stage.runtime: Stage tts_engine started
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:59,388 [INFO] sglang_omni.pipeline.control_plane: Stage vocoder control plane started
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:59,389 [INFO] sglang_omni.pipeline.stage.runtime: Scheduler thread for stage vocoder set cuda device to 0
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:59,389 [INFO] sglang_omni.pipeline.stage.runtime: Stage vocoder started
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:59,389 [INFO] stage_workers.pipeline: Process pipeline ready with stages=['tts_engine', 'vocoder']
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:59,389 [INFO] sglang_omni.pipeline.stage_workers: Process pipeline ready
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:59,390 [INFO] sglang_omni.pipeline.coordinator: Coordinator registered stage: preprocessing at ipc:///tmp/sglang_omni/home-li-yanyupingsheng-5703tts-models-higgs-tts-3-4-alp8qp3l/stage_preprocessing.sock
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:59,390 [INFO] sglang_omni.pipeline.coordinator: Coordinator registered stage: audio_encoder at ipc:///tmp/sglang_omni/home-li-yanyupingsheng-5703tts-models-higgs-tts-3-4-alp8qp3l/stage_audio_encoder.sock
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:59,390 [INFO] sglang_omni.pipeline.coordinator: Coordinator registered stage: tts_engine at ipc:///tmp/sglang_omni/home-li-yanyupingsheng-5703tts-models-higgs-tts-3-4-alp8qp3l/stage_tts_engine.sock
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:59,390 [INFO] sglang_omni.pipeline.coordinator: Coordinator registered stage: vocoder at ipc:///tmp/sglang_omni/home-li-yanyupingsheng-5703tts-models-higgs-tts-3-4-alp8qp3l/stage_vocoder.sock
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:59,390 [INFO] sglang_omni.pipeline.mp_runner: MultiProcessPipelineRunner started: 4 stage(s), 2 process(es)
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:59,390 [INFO] sglang_omni.serve.launcher: Resolved placement/topology plan: placement={'topology': 'HiggsTtsPipelineConfig', 'pipeline': '/home/li_yanyupingsheng/5703tts/models/higgs-tts-3-4b', 'process_groups': {'tts_frontend': {'stages': ['preprocessing', 'audio_encoder'], 'gpu': 0}, 'pipeline': {'stages': ['tts_engine', 'vocoder'], 'gpu': 0}}, 'tp_process_groups': {}, 'stage_runtime': {'audio_encoder': {'gpu': 0, 'total_gpu_memory_fraction': 0.03, 'mem_fraction_static': None}, 'tts_engine': {'gpu': 0, 'total_gpu_memory_fraction': 0.85, 'mem_fraction_static': None}, 'vocoder': {'gpu': 0, 'total_gpu_memory_fraction': 0.1, 'mem_fraction_static': None}}, 'gpus': {0: {'hardware': {'device_id': 0, 'name': 'NVIDIA L4', 'total_memory': '22.49GiB'}, 'stages': ['audio_encoder', 'tts_engine', 'vocoder'], 'total_gpu_memory_fraction': 0.98, 'missing_fraction_stages': []}}}
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:59,391 [INFO] sglang_omni.serve.launcher: Model capabilities: {"architecture": "HiggsMultimodalQwen3ForConditionalGeneration", "batch_vocoder": true, "breakable_prefill_cuda_graph": true, "cuda_graph": true, "reference_audio": true, "streaming_vocoder": true, "torch_compile": true}
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 12:26:59,391 [INFO] sglang_omni.serve.launcher: Pipeline '/home/li_yanyupingsheng/5703tts/models/higgs-tts-3-4b' started (1 GPU(s))
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=INFO:     Started server process [112550]
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=INFO:     Waiting for application startup.
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=INFO:     Application startup complete.
2026-09-24 12:26:59 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=INFO:     Uvicorn running on http://127.0.0.1:18080 (Press CTRL+C to quit)
