timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/09/24 08:49:56.460, NVIDIA L4, 23034 MiB, 0 MiB, 22646 MiB, 0 %
2026/09/24 08:49:57.465, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:49:58.465, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:49:59.467, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:50:00.468, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:50:01.468, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:50:02.468, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:50:03.469, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:50:04.469, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:50:05.469, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:50:06.470, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:50:07.470, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:50:08.470, NVIDIA L4, 23034 MiB, 194 MiB, 22452 MiB, 0 %
2026/09/24 08:50:09.470, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:50:10.471, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:50:11.471, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:50:12.472, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:50:13.472, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:50:14.472, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:50:15.473, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:50:16.473, NVIDIA L4, 23034 MiB, 8224 MiB, 14423 MiB, 29 %
2026/09/24 08:50:17.473, NVIDIA L4, 23034 MiB, 8224 MiB, 14423 MiB, 29 %
2026/09/24 08:50:18.473, NVIDIA L4, 23034 MiB, 8224 MiB, 14423 MiB, 31 %
2026/09/24 08:50:19.474, NVIDIA L4, 23034 MiB, 18932 MiB, 3715 MiB, 0 %
2026/09/24 08:50:20.474, NVIDIA L4, 23034 MiB, 18932 MiB, 3715 MiB, 0 %
2026/09/24 08:50:21.474, NVIDIA L4, 23034 MiB, 18934 MiB, 3713 MiB, 0 %
2026/09/24 08:50:22.474, NVIDIA L4, 23034 MiB, 18938 MiB, 3709 MiB, 1 %
2026/09/24 08:50:23.475, NVIDIA L4, 23034 MiB, 18944 MiB, 3703 MiB, 0 %
2026/09/24 08:50:24.476, NVIDIA L4, 23034 MiB, 18944 MiB, 3703 MiB, 0 %
2026/09/24 08:50:25.476, NVIDIA L4, 23034 MiB, 18944 MiB, 3703 MiB, 0 %
2026/09/24 08:50:26.476, NVIDIA L4, 23034 MiB, 18944 MiB, 3703 MiB, 0 %
2026/09/24 08:50:27.477, NVIDIA L4, 23034 MiB, 18944 MiB, 3703 MiB, 0 %
2026/09/24 08:50:28.477, NVIDIA L4, 23034 MiB, 19354 MiB, 3293 MiB, 0 %
2026/09/24 08:50:29.477, NVIDIA L4, 23034 MiB, 19426 MiB, 3221 MiB, 0 %
2026/09/24 08:50:30.478, NVIDIA L4, 23034 MiB, 19426 MiB, 3221 MiB, 0 %
2026/09/24 08:50:31.478, NVIDIA L4, 23034 MiB, 19426 MiB, 3221 MiB, 0 %
2026/09/24 08:50:32.478, NVIDIA L4, 23034 MiB, 19426 MiB, 3221 MiB, 0 %
2026/09/24 08:50:33.479, NVIDIA L4, 23034 MiB, 19426 MiB, 3221 MiB, 0 %
2026/09/24 08:50:34.479, NVIDIA L4, 23034 MiB, 19458 MiB, 3189 MiB, 0 %
2026/09/24 08:50:35.479, NVIDIA L4, 23034 MiB, 19458 MiB, 3189 MiB, 0 %
2026/09/24 08:50:36.480, NVIDIA L4, 23034 MiB, 19458 MiB, 3189 MiB, 0 %
2026/09/24 08:50:37.480, NVIDIA L4, 23034 MiB, 19458 MiB, 3189 MiB, 0 %
2026/09/24 08:50:38.480, NVIDIA L4, 23034 MiB, 19862 MiB, 2785 MiB, 7 %
2026/09/24 08:50:39.480, NVIDIA L4, 23034 MiB, 19864 MiB, 2783 MiB, 7 %
2026/09/24 08:50:40.481, NVIDIA L4, 23034 MiB, 19864 MiB, 2783 MiB, 7 %
2026/09/24 08:50:41.481, NVIDIA L4, 23034 MiB, 19864 MiB, 2783 MiB, 6 %
2026/09/24 08:50:42.481, NVIDIA L4, 23034 MiB, 19864 MiB, 2783 MiB, 5 %
2026/09/24 08:50:43.481, NVIDIA L4, 23034 MiB, 19864 MiB, 2783 MiB, 5 %
2026/09/24 08:50:44.482, NVIDIA L4, 23034 MiB, 19864 MiB, 2783 MiB, 4 %
2026/09/24 08:50:45.482, NVIDIA L4, 23034 MiB, 19866 MiB, 2781 MiB, 3 %
2026/09/24 08:50:46.482, NVIDIA L4, 23034 MiB, 19866 MiB, 2781 MiB, 3 %
2026/09/24 08:50:47.482, NVIDIA L4, 23034 MiB, 19866 MiB, 2781 MiB, 3 %
2026/09/24 08:50:48.483, NVIDIA L4, 23034 MiB, 20098 MiB, 2549 MiB, 0 %
2026/09/24 08:50:49.483, NVIDIA L4, 23034 MiB, 20538 MiB, 2109 MiB, 0 %
2026/09/24 08:50:50.483, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 92 %
2026/09/24 08:50:51.484, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 94 %
2026/09/24 08:50:52.484, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 94 %
2026/09/24 08:50:53.484, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 94 %
2026/09/24 08:50:54.484, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 94 %
2026/09/24 08:50:55.485, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 94 %
2026/09/24 08:50:56.485, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 94 %
2026/09/24 08:50:57.485, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 94 %
2026/09/24 08:50:58.485, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:50:59.486, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:51:00.486, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:51:01.486, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:51:02.487, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:51:03.487, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 95 %
2026/09/24 08:51:04.487, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:51:05.487, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
