timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/09/24 10:14:57.217, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 10:14:58.222, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 10:14:59.222, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 10:15:00.222, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 10:15:01.223, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 10:15:02.223, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 10:15:03.225, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 10:15:04.225, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 10:15:05.225, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 10:15:06.226, NVIDIA L4, 23034 MiB, 194 MiB, 22452 MiB, 0 %
2026/09/24 10:15:07.226, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 2 %
2026/09/24 10:15:08.226, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 10:15:09.226, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 10:15:10.227, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 10:15:11.227, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 10:15:12.227, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 10:15:13.228, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 10:15:14.228, NVIDIA L4, 23034 MiB, 8224 MiB, 14423 MiB, 31 %
2026/09/24 10:15:15.228, NVIDIA L4, 23034 MiB, 8224 MiB, 14423 MiB, 31 %
2026/09/24 10:15:16.228, NVIDIA L4, 23034 MiB, 18484 MiB, 4163 MiB, 41 %
2026/09/24 10:15:17.229, NVIDIA L4, 23034 MiB, 18932 MiB, 3715 MiB, 0 %
2026/09/24 10:15:18.229, NVIDIA L4, 23034 MiB, 18932 MiB, 3715 MiB, 0 %
2026/09/24 10:15:19.229, NVIDIA L4, 23034 MiB, 18938 MiB, 3709 MiB, 1 %
2026/09/24 10:15:20.230, NVIDIA L4, 23034 MiB, 18938 MiB, 3709 MiB, 0 %
2026/09/24 10:15:21.230, NVIDIA L4, 23034 MiB, 18944 MiB, 3703 MiB, 0 %
2026/09/24 10:15:22.230, NVIDIA L4, 23034 MiB, 18944 MiB, 3703 MiB, 0 %
2026/09/24 10:15:23.230, NVIDIA L4, 23034 MiB, 18944 MiB, 3703 MiB, 0 %
2026/09/24 10:15:24.231, NVIDIA L4, 23034 MiB, 18944 MiB, 3703 MiB, 0 %
2026/09/24 10:15:25.231, NVIDIA L4, 23034 MiB, 18944 MiB, 3703 MiB, 0 %
2026/09/24 10:15:26.231, NVIDIA L4, 23034 MiB, 19354 MiB, 3293 MiB, 0 %
2026/09/24 10:15:27.231, NVIDIA L4, 23034 MiB, 19426 MiB, 3221 MiB, 2 %
2026/09/24 10:15:28.232, NVIDIA L4, 23034 MiB, 19426 MiB, 3221 MiB, 0 %
2026/09/24 10:15:29.232, NVIDIA L4, 23034 MiB, 19426 MiB, 3221 MiB, 0 %
2026/09/24 10:15:30.233, NVIDIA L4, 23034 MiB, 19426 MiB, 3221 MiB, 0 %
2026/09/24 10:15:31.233, NVIDIA L4, 23034 MiB, 19426 MiB, 3221 MiB, 0 %
2026/09/24 10:15:32.233, NVIDIA L4, 23034 MiB, 19458 MiB, 3189 MiB, 0 %
2026/09/24 10:15:33.233, NVIDIA L4, 23034 MiB, 19458 MiB, 3189 MiB, 0 %
2026/09/24 10:15:34.234, NVIDIA L4, 23034 MiB, 19458 MiB, 3189 MiB, 0 %
2026/09/24 10:15:35.234, NVIDIA L4, 23034 MiB, 19458 MiB, 3189 MiB, 0 %
2026/09/24 10:15:36.234, NVIDIA L4, 23034 MiB, 19862 MiB, 2785 MiB, 7 %
2026/09/24 10:15:37.234, NVIDIA L4, 23034 MiB, 19864 MiB, 2783 MiB, 7 %
2026/09/24 10:15:38.235, NVIDIA L4, 23034 MiB, 19864 MiB, 2783 MiB, 6 %
2026/09/24 10:15:39.235, NVIDIA L4, 23034 MiB, 19864 MiB, 2783 MiB, 6 %
2026/09/24 10:15:40.235, NVIDIA L4, 23034 MiB, 19864 MiB, 2783 MiB, 5 %
2026/09/24 10:15:41.236, NVIDIA L4, 23034 MiB, 19864 MiB, 2783 MiB, 5 %
2026/09/24 10:15:42.236, NVIDIA L4, 23034 MiB, 19864 MiB, 2783 MiB, 4 %
2026/09/24 10:15:43.236, NVIDIA L4, 23034 MiB, 19866 MiB, 2781 MiB, 4 %
2026/09/24 10:15:44.236, NVIDIA L4, 23034 MiB, 19866 MiB, 2781 MiB, 3 %
2026/09/24 10:15:45.237, NVIDIA L4, 23034 MiB, 19866 MiB, 2781 MiB, 3 %
2026/09/24 10:15:46.237, NVIDIA L4, 23034 MiB, 20126 MiB, 2521 MiB, 0 %
2026/09/24 10:15:47.237, NVIDIA L4, 23034 MiB, 20538 MiB, 2109 MiB, 0 %
2026/09/24 10:15:48.238, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 93 %
2026/09/24 10:15:49.238, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 94 %
2026/09/24 10:15:50.238, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 94 %
