2026-09-24 10:14:56 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 10:14:56,716 [ERROR] sglang_omni.relay.nixl: Failed to import nixl: No module named 'nixl'. NixlRelay will not work.
2026-09-24 10:14:56 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 10:14:56,852 [INFO] sglang_omni.pipeline.control_plane: Coordinator control plane started
2026-09-24 10:14:56 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 10:14:56,852 [INFO] sglang_omni.pipeline.coordinator: Coordinator started
2026-09-24 10:14:56 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 10:14:56,855 [INFO] sglang_omni.pipeline.stage_workers: StageGroup tts_frontend: spawned 1 process(es) (pids=[72764])
2026-09-24 10:14:56 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 10:14:56,857 [INFO] sglang_omni.pipeline.stage_workers: StageGroup pipeline: spawned 1 process(es) (pids=[72765])
2026-09-24 10:15:05 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=Failed to import nixl: No module named 'nixl'. NixlRelay will not work.
2026-09-24 10:15:05 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 10:15:05,793 [INFO] stage_workers.pipeline: Set current device to 0 for stage tts_engine
2026-09-24 10:15:05 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 10:15:05,793 [INFO] stage_workers.pipeline: Building scheduler for tts_engine (tp_rank=0/1) ...
2026-09-24 10:15:05 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=Failed to import nixl: No module named 'nixl'. NixlRelay will not work.
2026-09-24 10:15:05 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 10:15:05,814 [INFO] stage_workers.pipeline: Acquired GPU startup lock for stage tts_engine: /tmp/sglang_omni_gpu_0_startup.lock
2026-09-24 10:15:05 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 10:15:05,814 [INFO] stage_workers.tts_frontend: Building scheduler for preprocessing (tp_rank=0/1) ...
2026-09-24 10:15:07 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 10:15:07,038 [INFO] stage_workers.tts_frontend: Set current device to 0 for stage audio_encoder
2026-09-24 10:15:07 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 10:15:07,038 [INFO] stage_workers.tts_frontend: Building scheduler for audio_encoder (tp_rank=0/1) ...
2026-09-24 10:15:08 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 10:15:08,206 [WARNING] sglang.srt.utils.common: Failed to load generation config for /home/li_yanyupingsheng/5703tts/models/higgs-tts-3-4b: /home/li_yanyupingsheng/5703tts/models/higgs-tts-3-4b does not appear to have a file named generation_config.json. Checkout 'https://huggingface.co//home/li_yanyupingsheng/5703tts/models/higgs-tts-3-4b/tree/main' for available files.. Proceeding without generation config.
2026-09-24 10:15:08 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 10:15:08,230 [INFO] sglang.srt.arg_groups.overrides: Attention backend not specified. Use flashinfer backend by default.
2026-09-24 10:15:08 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 10:15:08,238 [INFO] sglang_omni.scheduling.bootstrap: SGLang runtime configuration: gpu_id=0, sm=89, architecture=ada, attention_backend=flashinfer, decode_attention_backend=flashinfer, prefill_attention_backend=flashinfer, sampling_backend=flashinfer
2026-09-24 10:15:08 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 10:15:08,239 [INFO] sglang_omni.platforms.cuda: Configured SGLang backend policy: arch=None effective_quantization=None server_quantization=None moe_runner_backend=auto fp8_gemm_backend=auto
2026-09-24 10:15:11 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=Unable to import `torchao` Tensor objects. This may affect loading checkpoints serialized with `torchao`
2026-09-24 10:15:13 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 10:15:13,453 [INFO] sglang.srt.distributed.bootstrap: Init torch distributed begin.
2026-09-24 10:15:13 | DEBUG    | tts5703.tts_engine | event=higgs_worker_stderr message=2026-09-24 10:15:13,516 [INFO] sglang.srt.distributed.bootstrap: Init torch distributed ends. elapsed=0.06 s, mem usage=0.03 GB
