timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/09/24 07:45:50.277, NVIDIA L4, 23034 MiB, 0 MiB, 22646 MiB, 0 %
2026/09/24 07:45:51.281, NVIDIA L4, 23034 MiB, 0 MiB, 22646 MiB, 0 %
2026/09/24 07:45:52.281, NVIDIA L4, 23034 MiB, 0 MiB, 22646 MiB, 0 %
2026/09/24 07:45:53.281, NVIDIA L4, 23034 MiB, 0 MiB, 22646 MiB, 0 %
2026/09/24 07:45:54.281, NVIDIA L4, 23034 MiB, 0 MiB, 22646 MiB, 0 %
2026/09/24 07:45:55.282, NVIDIA L4, 23034 MiB, 0 MiB, 22646 MiB, 0 %
2026/09/24 07:45:56.282, NVIDIA L4, 23034 MiB, 0 MiB, 22646 MiB, 0 %
2026/09/24 07:45:57.282, NVIDIA L4, 23034 MiB, 0 MiB, 22646 MiB, 0 %
2026/09/24 07:45:58.283, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 07:45:59.283, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 07:46:00.283, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 07:46:01.283, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 07:46:02.284, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 07:46:03.284, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 07:46:04.284, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 07:46:05.285, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 07:46:06.285, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 07:46:07.285, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 07:46:08.286, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 07:46:09.286, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 07:46:10.286, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 07:46:11.286, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 07:46:12.287, NVIDIA L4, 23034 MiB, 194 MiB, 22452 MiB, 0 %
2026/09/24 07:46:13.287, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 07:46:14.287, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 07:46:15.288, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 07:46:16.288, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 07:46:17.288, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 07:46:18.289, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 07:46:19.289, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 07:46:20.289, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 07:46:21.289, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 07:46:22.290, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 07:46:23.290, NVIDIA L4, 23034 MiB, 8224 MiB, 14423 MiB, 31 %
2026/09/24 07:46:24.290, NVIDIA L4, 23034 MiB, 8224 MiB, 14423 MiB, 31 %
2026/09/24 07:46:25.291, NVIDIA L4, 23034 MiB, 8224 MiB, 14423 MiB, 32 %
2026/09/24 07:46:26.291, NVIDIA L4, 23034 MiB, 19980 MiB, 2667 MiB, 0 %
2026/09/24 07:46:27.291, NVIDIA L4, 23034 MiB, 19980 MiB, 2667 MiB, 0 %
2026/09/24 07:46:28.291, NVIDIA L4, 23034 MiB, 19980 MiB, 2667 MiB, 0 %
2026/09/24 07:46:29.292, NVIDIA L4, 23034 MiB, 19980 MiB, 2667 MiB, 0 %
2026/09/24 07:46:30.292, NVIDIA L4, 23034 MiB, 19986 MiB, 2661 MiB, 1 %
2026/09/24 07:46:31.292, NVIDIA L4, 23034 MiB, 20008 MiB, 2639 MiB, 0 %
