timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/09/24 07:46:46.906, NVIDIA L4, 23034 MiB, 20830 MiB, 1817 MiB, 0 %
2026/09/24 07:46:47.909, NVIDIA L4, 23034 MiB, 20830 MiB, 1817 MiB, 0 %
2026/09/24 07:46:48.909, NVIDIA L4, 23034 MiB, 20830 MiB, 1817 MiB, 0 %
2026/09/24 07:46:49.910, NVIDIA L4, 23034 MiB, 20830 MiB, 1817 MiB, 0 %
2026/09/24 07:46:50.910, NVIDIA L4, 23034 MiB, 20830 MiB, 1817 MiB, 0 %
2026/09/24 07:46:51.910, NVIDIA L4, 23034 MiB, 20830 MiB, 1817 MiB, 0 %
2026/09/24 07:46:52.910, NVIDIA L4, 23034 MiB, 20830 MiB, 1817 MiB, 0 %
2026/09/24 07:46:53.911, NVIDIA L4, 23034 MiB, 20830 MiB, 1817 MiB, 0 %
2026/09/24 07:46:54.911, NVIDIA L4, 23034 MiB, 20830 MiB, 1817 MiB, 0 %
2026/09/24 07:46:55.911, NVIDIA L4, 23034 MiB, 20830 MiB, 1817 MiB, 0 %
2026/09/24 07:46:56.912, NVIDIA L4, 23034 MiB, 20830 MiB, 1817 MiB, 0 %
2026/09/24 07:46:57.912, NVIDIA L4, 23034 MiB, 20830 MiB, 1817 MiB, 0 %
2026/09/24 07:46:58.913, NVIDIA L4, 23034 MiB, 20830 MiB, 1817 MiB, 0 %
2026/09/24 07:46:59.913, NVIDIA L4, 23034 MiB, 20830 MiB, 1817 MiB, 0 %
2026/09/24 07:47:00.914, NVIDIA L4, 23034 MiB, 20830 MiB, 1817 MiB, 0 %
2026/09/24 07:47:01.914, NVIDIA L4, 23034 MiB, 20830 MiB, 1817 MiB, 0 %
2026/09/24 07:47:02.918, NVIDIA L4, 23034 MiB, 20832 MiB, 1815 MiB, 0 %
2026/09/24 07:47:03.919, NVIDIA L4, 23034 MiB, 20832 MiB, 1815 MiB, 0 %
2026/09/24 07:47:04.919, NVIDIA L4, 23034 MiB, 20832 MiB, 1815 MiB, 0 %
2026/09/24 07:47:05.920, NVIDIA L4, 23034 MiB, 20832 MiB, 1815 MiB, 0 %
2026/09/24 07:47:06.920, NVIDIA L4, 23034 MiB, 20832 MiB, 1815 MiB, 0 %
2026/09/24 07:47:07.920, NVIDIA L4, 23034 MiB, 20882 MiB, 1765 MiB, 89 %
2026/09/24 07:47:08.920, NVIDIA L4, 23034 MiB, 20886 MiB, 1761 MiB, 90 %
2026/09/24 07:47:09.921, NVIDIA L4, 23034 MiB, 20886 MiB, 1761 MiB, 85 %
2026/09/24 07:47:10.921, NVIDIA L4, 23034 MiB, 20886 MiB, 1761 MiB, 90 %
2026/09/24 07:47:11.921, NVIDIA L4, 23034 MiB, 20886 MiB, 1761 MiB, 93 %
2026/09/24 07:47:12.922, NVIDIA L4, 23034 MiB, 20886 MiB, 1761 MiB, 0 %
2026/09/24 07:47:13.922, NVIDIA L4, 23034 MiB, 20886 MiB, 1761 MiB, 0 %
2026/09/24 07:47:14.922, NVIDIA L4, 23034 MiB, 20886 MiB, 1761 MiB, 0 %
2026/09/24 07:47:15.923, NVIDIA L4, 23034 MiB, 21242 MiB, 1405 MiB, 9 %
2026/09/24 07:47:16.923, NVIDIA L4, 23034 MiB, 21290 MiB, 1357 MiB, 7 %
2026/09/24 07:47:17.923, NVIDIA L4, 23034 MiB, 21292 MiB, 1355 MiB, 6 %
2026/09/24 07:47:18.924, NVIDIA L4, 23034 MiB, 21292 MiB, 1355 MiB, 6 %
2026/09/24 07:47:19.924, NVIDIA L4, 23034 MiB, 21292 MiB, 1355 MiB, 6 %
