timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/09/24 08:22:33.915, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:22:34.919, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:22:35.920, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:22:36.920, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:22:37.920, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:22:38.921, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:22:39.921, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:22:40.921, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:22:41.921, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:22:42.922, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:22:43.922, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:22:44.922, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:22:45.923, NVIDIA L4, 23034 MiB, 194 MiB, 22452 MiB, 0 %
2026/09/24 08:22:46.923, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:22:47.923, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:22:48.923, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:22:49.924, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:22:50.924, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:22:51.924, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:22:52.925, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:22:53.925, NVIDIA L4, 23034 MiB, 8224 MiB, 14423 MiB, 31 %
2026/09/24 08:22:54.925, NVIDIA L4, 23034 MiB, 8224 MiB, 14423 MiB, 31 %
2026/09/24 08:22:55.925, NVIDIA L4, 23034 MiB, 18484 MiB, 4163 MiB, 7 %
2026/09/24 08:22:56.926, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:22:57.926, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:22:58.926, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:22:59.927, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:23:00.927, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:23:01.927, NVIDIA L4, 23034 MiB, 194 MiB, 22452 MiB, 100 %
2026/09/24 08:23:02.927, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:23:03.928, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:23:04.928, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:23:05.928, NVIDIA L4, 23034 MiB, 0 MiB, 22646 MiB, 0 %
2026/09/24 08:23:06.929, NVIDIA L4, 23034 MiB, 0 MiB, 22646 MiB, 0 %
2026/09/24 08:23:07.929, NVIDIA L4, 23034 MiB, 0 MiB, 22646 MiB, 0 %
2026/09/24 08:23:08.929, NVIDIA L4, 23034 MiB, 0 MiB, 22646 MiB, 0 %
2026/09/24 08:23:09.930, NVIDIA L4, 23034 MiB, 0 MiB, 22646 MiB, 0 %
