timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/09/24 08:44:56.620, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:44:57.625, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:44:58.625, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:44:59.625, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:45:00.626, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:45:01.626, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:45:02.626, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:45:03.627, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:45:04.627, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:45:05.627, NVIDIA L4, 23034 MiB, 194 MiB, 22452 MiB, 0 %
2026/09/24 08:45:06.627, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:45:07.628, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:45:08.628, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:45:09.628, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:45:10.629, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:45:11.629, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:45:12.629, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:45:13.629, NVIDIA L4, 23034 MiB, 8224 MiB, 14423 MiB, 31 %
2026/09/24 08:45:14.630, NVIDIA L4, 23034 MiB, 8224 MiB, 14423 MiB, 31 %
2026/09/24 08:45:15.630, NVIDIA L4, 23034 MiB, 18484 MiB, 4163 MiB, 2 %
2026/09/24 08:45:16.630, NVIDIA L4, 23034 MiB, 18932 MiB, 3715 MiB, 0 %
2026/09/24 08:45:17.631, NVIDIA L4, 23034 MiB, 18932 MiB, 3715 MiB, 1 %
2026/09/24 08:45:18.631, NVIDIA L4, 23034 MiB, 18938 MiB, 3709 MiB, 0 %
2026/09/24 08:45:19.631, NVIDIA L4, 23034 MiB, 18938 MiB, 3709 MiB, 0 %
2026/09/24 08:45:20.631, NVIDIA L4, 23034 MiB, 18938 MiB, 3709 MiB, 0 %
2026/09/24 08:45:21.632, NVIDIA L4, 23034 MiB, 18944 MiB, 3703 MiB, 0 %
2026/09/24 08:45:22.632, NVIDIA L4, 23034 MiB, 18944 MiB, 3703 MiB, 0 %
2026/09/24 08:45:23.632, NVIDIA L4, 23034 MiB, 18944 MiB, 3703 MiB, 0 %
2026/09/24 08:45:24.633, NVIDIA L4, 23034 MiB, 18944 MiB, 3703 MiB, 0 %
2026/09/24 08:45:25.633, NVIDIA L4, 23034 MiB, 18944 MiB, 3703 MiB, 0 %
2026/09/24 08:45:26.633, NVIDIA L4, 23034 MiB, 19354 MiB, 3293 MiB, 0 %
2026/09/24 08:45:27.633, NVIDIA L4, 23034 MiB, 19426 MiB, 3221 MiB, 0 %
2026/09/24 08:45:28.634, NVIDIA L4, 23034 MiB, 19426 MiB, 3221 MiB, 0 %
2026/09/24 08:45:29.634, NVIDIA L4, 23034 MiB, 19426 MiB, 3221 MiB, 0 %
2026/09/24 08:45:30.634, NVIDIA L4, 23034 MiB, 19426 MiB, 3221 MiB, 0 %
2026/09/24 08:45:31.635, NVIDIA L4, 23034 MiB, 19426 MiB, 3221 MiB, 0 %
2026/09/24 08:45:32.635, NVIDIA L4, 23034 MiB, 19458 MiB, 3189 MiB, 0 %
2026/09/24 08:45:33.635, NVIDIA L4, 23034 MiB, 19458 MiB, 3189 MiB, 0 %
2026/09/24 08:45:34.635, NVIDIA L4, 23034 MiB, 19458 MiB, 3189 MiB, 0 %
2026/09/24 08:45:35.636, NVIDIA L4, 23034 MiB, 19458 MiB, 3189 MiB, 0 %
2026/09/24 08:45:36.636, NVIDIA L4, 23034 MiB, 19862 MiB, 2785 MiB, 7 %
2026/09/24 08:45:37.636, NVIDIA L4, 23034 MiB, 19864 MiB, 2783 MiB, 7 %
2026/09/24 08:45:38.636, NVIDIA L4, 23034 MiB, 19864 MiB, 2783 MiB, 6 %
2026/09/24 08:45:39.637, NVIDIA L4, 23034 MiB, 19864 MiB, 2783 MiB, 6 %
2026/09/24 08:45:40.637, NVIDIA L4, 23034 MiB, 19864 MiB, 2783 MiB, 5 %
2026/09/24 08:45:41.637, NVIDIA L4, 23034 MiB, 19864 MiB, 2783 MiB, 5 %
2026/09/24 08:45:42.638, NVIDIA L4, 23034 MiB, 19864 MiB, 2783 MiB, 4 %
2026/09/24 08:45:43.638, NVIDIA L4, 23034 MiB, 19866 MiB, 2781 MiB, 4 %
2026/09/24 08:45:44.638, NVIDIA L4, 23034 MiB, 19866 MiB, 2781 MiB, 3 %
2026/09/24 08:45:45.638, NVIDIA L4, 23034 MiB, 19866 MiB, 2781 MiB, 3 %
2026/09/24 08:45:46.639, NVIDIA L4, 23034 MiB, 20172 MiB, 2475 MiB, 0 %
2026/09/24 08:45:47.639, NVIDIA L4, 23034 MiB, 20538 MiB, 2109 MiB, 0 %
2026/09/24 08:45:48.639, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 94 %
2026/09/24 08:45:49.640, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 94 %
2026/09/24 08:45:50.640, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 94 %
2026/09/24 08:45:51.640, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 94 %
2026/09/24 08:45:52.640, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 94 %
2026/09/24 08:45:53.641, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 94 %
2026/09/24 08:45:54.641, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 94 %
2026/09/24 08:45:55.641, NVIDIA L4, 23034 MiB, 20688 MiB, 1959 MiB, 94 %
2026/09/24 08:45:56.641, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:45:57.642, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:45:58.642, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 92 %
2026/09/24 08:45:59.642, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:46:00.643, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:46:01.643, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 92 %
2026/09/24 08:46:02.643, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:46:03.643, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:46:04.644, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 93 %
2026/09/24 08:46:05.644, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 92 %
2026/09/24 08:46:06.644, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 93 %
2026/09/24 08:46:07.645, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:46:08.645, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:46:09.645, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 93 %
2026/09/24 08:46:10.645, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:46:11.646, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 93 %
2026/09/24 08:46:12.646, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:46:13.646, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 93 %
2026/09/24 08:46:14.647, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:46:15.647, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:46:16.647, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:46:17.647, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:46:18.648, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:46:19.648, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:46:20.648, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:46:21.650, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:46:22.650, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 94 %
2026/09/24 08:46:23.650, NVIDIA L4, 23034 MiB, 20828 MiB, 1819 MiB, 93 %
2026/09/24 08:46:24.651, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 58 %
2026/09/24 08:46:25.651, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 94 %
2026/09/24 08:46:26.651, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 95 %
2026/09/24 08:46:27.651, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 94 %
2026/09/24 08:46:28.652, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 94 %
2026/09/24 08:46:29.652, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 93 %
2026/09/24 08:46:30.652, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 94 %
2026/09/24 08:46:31.652, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 94 %
2026/09/24 08:46:32.653, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 94 %
2026/09/24 08:46:33.653, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 94 %
2026/09/24 08:46:34.653, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 95 %
2026/09/24 08:46:35.654, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 94 %
2026/09/24 08:46:36.654, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 93 %
2026/09/24 08:46:37.654, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 93 %
2026/09/24 08:46:38.654, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 94 %
2026/09/24 08:46:39.655, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 94 %
2026/09/24 08:46:40.655, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 94 %
2026/09/24 08:46:41.655, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 92 %
2026/09/24 08:46:42.656, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 92 %
2026/09/24 08:46:43.656, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 93 %
2026/09/24 08:46:44.656, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 93 %
2026/09/24 08:46:45.657, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 93 %
2026/09/24 08:46:46.657, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 94 %
2026/09/24 08:46:47.658, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 93 %
2026/09/24 08:46:48.658, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 94 %
2026/09/24 08:46:49.659, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 95 %
2026/09/24 08:46:50.659, NVIDIA L4, 23034 MiB, 20862 MiB, 1785 MiB, 94 %
2026/09/24 08:46:51.659, NVIDIA L4, 23034 MiB, 20900 MiB, 1747 MiB, 94 %
2026/09/24 08:46:52.659, NVIDIA L4, 23034 MiB, 20900 MiB, 1747 MiB, 93 %
2026/09/24 08:46:53.660, NVIDIA L4, 23034 MiB, 20900 MiB, 1747 MiB, 95 %
2026/09/24 08:46:54.660, NVIDIA L4, 23034 MiB, 20900 MiB, 1747 MiB, 94 %
