timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/09/24 08:28:43.009, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:28:44.013, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:28:45.013, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:28:46.013, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:28:47.014, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:28:48.014, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:28:49.014, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:28:50.015, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:28:51.015, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:28:52.015, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:28:53.016, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:28:54.016, NVIDIA L4, 23034 MiB, 194 MiB, 22452 MiB, 0 %
2026/09/24 08:28:55.016, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:28:56.017, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:28:57.017, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:28:58.017, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:28:59.018, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:29:00.018, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:29:01.019, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:29:02.019, NVIDIA L4, 23034 MiB, 8224 MiB, 14423 MiB, 31 %
2026/09/24 08:29:03.019, NVIDIA L4, 23034 MiB, 8224 MiB, 14423 MiB, 31 %
2026/09/24 08:29:04.020, NVIDIA L4, 23034 MiB, 18480 MiB, 4167 MiB, 2 %
2026/09/24 08:29:05.020, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:06.021, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:07.022, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:08.022, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:09.026, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:10.027, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:11.028, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:12.029, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:13.030, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:14.031, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:15.031, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:16.032, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:17.036, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:18.036, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:19.040, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:20.040, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:21.041, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:22.042, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:23.043, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:24.044, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:25.044, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:26.045, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:27.046, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:28.046, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:29.047, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:30.048, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:31.049, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:32.050, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:33.051, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:34.051, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:35.054, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:36.055, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:37.055, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:38.056, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:39.056, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:40.057, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:41.058, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:42.058, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:43.059, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:44.059, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:45.059, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:29:46.060, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
