timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/09/24 08:38:14.627, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:38:15.630, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:38:16.630, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:38:17.631, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:38:18.631, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:38:19.631, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:38:20.632, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:38:21.632, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:38:22.632, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:38:23.633, NVIDIA L4, 23034 MiB, 3 MiB, 22643 MiB, 0 %
2026/09/24 08:38:24.633, NVIDIA L4, 23034 MiB, 194 MiB, 22452 MiB, 2 %
2026/09/24 08:38:25.633, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 1 %
2026/09/24 08:38:26.633, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:38:27.634, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:38:28.634, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:38:29.634, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:38:30.635, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:38:31.635, NVIDIA L4, 23034 MiB, 386 MiB, 22261 MiB, 0 %
2026/09/24 08:38:32.635, NVIDIA L4, 23034 MiB, 8224 MiB, 14423 MiB, 31 %
2026/09/24 08:38:33.636, NVIDIA L4, 23034 MiB, 8224 MiB, 14423 MiB, 32 %
2026/09/24 08:38:34.636, NVIDIA L4, 23034 MiB, 9786 MiB, 12861 MiB, 16 %
2026/09/24 08:38:35.636, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:38:36.637, NVIDIA L4, 23034 MiB, 18972 MiB, 3675 MiB, 0 %
2026/09/24 08:38:37.637, NVIDIA L4, 23034 MiB, 18978 MiB, 3669 MiB, 1 %
2026/09/24 08:38:38.637, NVIDIA L4, 23034 MiB, 19000 MiB, 3647 MiB, 0 %
2026/09/24 08:38:39.637, NVIDIA L4, 23034 MiB, 19156 MiB, 3491 MiB, 30 %
2026/09/24 08:38:40.638, NVIDIA L4, 23034 MiB, 19336 MiB, 3311 MiB, 55 %
2026/09/24 08:38:41.638, NVIDIA L4, 23034 MiB, 19340 MiB, 3307 MiB, 0 %
2026/09/24 08:38:42.638, NVIDIA L4, 23034 MiB, 19340 MiB, 3307 MiB, 0 %
2026/09/24 08:38:43.639, NVIDIA L4, 23034 MiB, 19340 MiB, 3307 MiB, 0 %
2026/09/24 08:38:44.639, NVIDIA L4, 23034 MiB, 19340 MiB, 3307 MiB, 0 %
2026/09/24 08:38:45.639, NVIDIA L4, 23034 MiB, 19340 MiB, 3307 MiB, 0 %
2026/09/24 08:38:46.639, NVIDIA L4, 23034 MiB, 19782 MiB, 2865 MiB, 0 %
2026/09/24 08:38:47.640, NVIDIA L4, 23034 MiB, 19822 MiB, 2825 MiB, 0 %
2026/09/24 08:38:48.640, NVIDIA L4, 23034 MiB, 19822 MiB, 2825 MiB, 0 %
2026/09/24 08:38:49.640, NVIDIA L4, 23034 MiB, 19822 MiB, 2825 MiB, 0 %
2026/09/24 08:38:50.641, NVIDIA L4, 23034 MiB, 19822 MiB, 2825 MiB, 0 %
2026/09/24 08:38:51.641, NVIDIA L4, 23034 MiB, 19824 MiB, 2823 MiB, 0 %
2026/09/24 08:38:52.641, NVIDIA L4, 23034 MiB, 19854 MiB, 2793 MiB, 0 %
2026/09/24 08:38:53.641, NVIDIA L4, 23034 MiB, 19854 MiB, 2793 MiB, 0 %
2026/09/24 08:38:54.642, NVIDIA L4, 23034 MiB, 19854 MiB, 2793 MiB, 0 %
2026/09/24 08:38:55.642, NVIDIA L4, 23034 MiB, 19994 MiB, 2653 MiB, 0 %
2026/09/24 08:38:56.642, NVIDIA L4, 23034 MiB, 20258 MiB, 2389 MiB, 7 %
2026/09/24 08:38:57.643, NVIDIA L4, 23034 MiB, 20260 MiB, 2387 MiB, 7 %
2026/09/24 08:38:58.643, NVIDIA L4, 23034 MiB, 20260 MiB, 2387 MiB, 6 %
2026/09/24 08:38:59.643, NVIDIA L4, 23034 MiB, 20260 MiB, 2387 MiB, 6 %
2026/09/24 08:39:00.643, NVIDIA L4, 23034 MiB, 20260 MiB, 2387 MiB, 5 %
2026/09/24 08:39:01.644, NVIDIA L4, 23034 MiB, 20260 MiB, 2387 MiB, 5 %
2026/09/24 08:39:02.644, NVIDIA L4, 23034 MiB, 20262 MiB, 2385 MiB, 4 %
2026/09/24 08:39:03.644, NVIDIA L4, 23034 MiB, 20262 MiB, 2385 MiB, 4 %
2026/09/24 08:39:04.645, NVIDIA L4, 23034 MiB, 20262 MiB, 2385 MiB, 3 %
2026/09/24 08:39:05.645, NVIDIA L4, 23034 MiB, 20262 MiB, 2385 MiB, 2 %
2026/09/24 08:39:06.645, NVIDIA L4, 23034 MiB, 20756 MiB, 1891 MiB, 0 %
2026/09/24 08:39:07.645, NVIDIA L4, 23034 MiB, 21084 MiB, 1563 MiB, 57 %
2026/09/24 08:39:08.646, NVIDIA L4, 23034 MiB, 21084 MiB, 1563 MiB, 94 %
2026/09/24 08:39:09.646, NVIDIA L4, 23034 MiB, 21084 MiB, 1563 MiB, 94 %
2026/09/24 08:39:10.646, NVIDIA L4, 23034 MiB, 21084 MiB, 1563 MiB, 94 %
2026/09/24 08:39:11.646, NVIDIA L4, 23034 MiB, 21084 MiB, 1563 MiB, 92 %
2026/09/24 08:39:12.647, NVIDIA L4, 23034 MiB, 21084 MiB, 1563 MiB, 93 %
2026/09/24 08:39:13.647, NVIDIA L4, 23034 MiB, 21084 MiB, 1563 MiB, 92 %
2026/09/24 08:39:14.647, NVIDIA L4, 23034 MiB, 21084 MiB, 1563 MiB, 93 %
2026/09/24 08:39:15.648, NVIDIA L4, 23034 MiB, 21084 MiB, 1563 MiB, 94 %
2026/09/24 08:39:16.648, NVIDIA L4, 23034 MiB, 21230 MiB, 1417 MiB, 94 %
2026/09/24 08:39:17.648, NVIDIA L4, 23034 MiB, 21230 MiB, 1417 MiB, 93 %
2026/09/24 08:39:18.649, NVIDIA L4, 23034 MiB, 21230 MiB, 1417 MiB, 94 %
2026/09/24 08:39:19.649, NVIDIA L4, 23034 MiB, 21230 MiB, 1417 MiB, 94 %
2026/09/24 08:39:20.649, NVIDIA L4, 23034 MiB, 21230 MiB, 1417 MiB, 94 %
2026/09/24 08:39:21.650, NVIDIA L4, 23034 MiB, 21230 MiB, 1417 MiB, 94 %
2026/09/24 08:39:22.650, NVIDIA L4, 23034 MiB, 21230 MiB, 1417 MiB, 95 %
2026/09/24 08:39:23.650, NVIDIA L4, 23034 MiB, 21230 MiB, 1417 MiB, 94 %
2026/09/24 08:39:24.651, NVIDIA L4, 23034 MiB, 21230 MiB, 1417 MiB, 95 %
2026/09/24 08:39:25.651, NVIDIA L4, 23034 MiB, 21230 MiB, 1417 MiB, 94 %
2026/09/24 08:39:26.651, NVIDIA L4, 23034 MiB, 21230 MiB, 1417 MiB, 93 %
2026/09/24 08:39:27.652, NVIDIA L4, 23034 MiB, 21230 MiB, 1417 MiB, 94 %
2026/09/24 08:39:28.652, NVIDIA L4, 23034 MiB, 21230 MiB, 1417 MiB, 94 %
2026/09/24 08:39:29.652, NVIDIA L4, 23034 MiB, 21230 MiB, 1417 MiB, 94 %
